User ID,Gender,Age,EstimatedSalary,MaritalStatus,EducationLevel,EmploymentStatus,CreditScore,LoanAmount,NumOfDependents,HomeOwnership,MobileBankingUsage,AnnualExpenses,InternetUsagePerDay,Purchased
100022,Female,23,126931,Married,PhD,Retired,703,2002,3,Rent,1,41959,5.65,1
100023,Female,32,61136,Married,PhD,Student,562,44945,0,Own,1,34079,2.75,1
100024,Female,35,134826,Divorced,Master,Unemployed,369,43882,1,Rent,1,16381,4.76,1
100025,Female,49,134881,Single,High School,Unemployed,591,24038,4,Rent,0,68293,5.12,1
100026,Female,28,72409,Married,Bachelor,Retired,513,9094,4,Own,0,21056,3.63,0
100027,Female,37,35577,Married,Master,Employed,446,23451,1,Rent,1,26283,7.81,0
100028,Female,41,105155,Divorced,Master,Unemployed,324,4752,0,Own,0,6467,1.49,1
100029,Female,32,131776,Married,Bachelor,Retired,622,21521,1,Rent,0,26236,3.44,1
100030,Male,24,119246,Married,Bachelor,Retired,408,28768,2,Own,1,11101,3.73,1
100031,Male,38,122924,Divorced,PhD,Unemployed,550,29410,1,Rent,1,12547,5.23,1
100032,Female,59,146759,Married,Bachelor,Unemployed,781,38206,1,Rent,0,7760,3.55,1
100033,Female,43,140408,Married,Bachelor,Student,474,5427,3,Mortgage,0,44189,1.23,1
100034,Female,31,101731,Divorced,Bachelor,Employed,646,6556,4,Rent,1,17648,7.61,1
100035,Male,54,47689,Single,Bachelor,Student,469,42300,4,Rent,1,39161,3.62,0
100036,Female,38,31154,Married,PhD,Student,301,19772,2,Own,1,41461,3.07,0
100037,Male,35,124657,Married,Master,Retired,661,29063,2,Own,0,50267,3.85,1
100038,Male,22,114948,Single,High School,Retired,595,40760,3,Own,1,26762,2.12,1
100039,Male,20,41341,Divorced,High School,Employed,501,23709,2,Own,0,23083,1.25,0
100040,Male,40,117554,Single,Master,Student,588,16319,0,Mortgage,1,22504,1.61,1
100041,Male,43,94681,Married,High School,Student,361,6383,3,Mortgage,1,43097,1.75,1
100042,Female,54,127798,Single,High School,Retired,801,2233,3,Own,0,55723,1.98,1
100043,Female,41,66330,Divorced,Master,Retired,425,28146,1,Own,1,18065,3.65,1
100044,Female,36,138069,Married,High School,Unemployed,348,25713,1,Own,0,53739,5.18,1
100045,Female,42,107759,Divorced,High School,Student,478,49345,0,Own,0,52124,5.22,1
100046,Female,38,88416,Divorced,Master,Employed,792,44758,3,Rent,0,22112,0.5,0
100047,Male,29,145067,Single,High School,Student,732,15789,3,Own,1,16696,7.41,1
100048,Female,58,106807,Single,Bachelor,Retired,601,3930,1,Rent,1,21999,6.67,1
100049,Female,50,53313,Divorced,Master,Unemployed,468,13112,4,Own,1,38138,7.73,1
100050,Male,21,66900,Divorced,PhD,Student,568,13374,4,Mortgage,0,65808,3.2,1
100051,Female,59,98840,Married,High School,Employed,663,32012,1,Mortgage,1,44535,5.49,1
100052,Male,24,54695,Divorced,PhD,Retired,399,19523,2,Own,1,26722,1.76,0
100053,Female,39,50225,Divorced,High School,Unemployed,514,25783,3,Mortgage,1,35199,6.63,0
100054,Male,50,106072,Single,Bachelor,Student,396,16563,0,Mortgage,1,67071,1.71,1
100055,Female,34,116367,Divorced,Master,Employed,847,44193,4,Mortgage,1,34432,2.94,1
100056,Female,41,69156,Divorced,PhD,Retired,636,11042,2,Mortgage,0,59094,4.18,0
100057,Male,51,97209,Single,Master,Employed,658,44163,3,Rent,1,14139,4.96,1
100058,Male,45,107453,Married,PhD,Student,589,23820,2,Rent,1,55271,4.7,1
100059,Male,58,47829,Single,High School,Retired,695,32252,3,Rent,1,47415,1.27,1
100060,Male,56,100908,Single,Bachelor,Student,659,3208,3,Rent,0,27715,3.66,1
100061,Male,39,45938,Divorced,PhD,Unemployed,646,41321,1,Own,1,32124,7.42,1
100062,Male,34,79164,Divorced,PhD,Student,423,14796,1,Mortgage,0,28403,7.04,0
100063,Male,51,74530,Married,Bachelor,Unemployed,837,39390,0,Mortgage,0,7422,4.93,1
100064,Male,23,140921,Divorced,Bachelor,Student,721,26426,0,Own,1,68921,4.79,1
100065,Female,23,88199,Married,Bachelor,Employed,635,23670,2,Own,0,45358,1.34,0
100066,Female,51,80282,Married,Bachelor,Employed,802,25320,1,Rent,0,18455,2.0,1
100067,Male,18,67801,Married,Bachelor,Retired,356,21074,3,Rent,0,33187,2.39,0
100068,Female,27,29465,Married,Master,Employed,375,28931,1,Mortgage,1,32122,4.16,0
100069,Female,38,23326,Divorced,High School,Employed,765,19993,3,Own,0,52109,5.99,1
100070,Female,22,23659,Single,High School,Unemployed,584,33991,1,Mortgage,1,14532,3.96,0
100071,Female,19,80289,Single,PhD,Employed,685,16003,3,Own,1,66189,1.45,1
100072,Male,39,47594,Divorced,Bachelor,Unemployed,558,48496,2,Rent,0,18541,3.8,1
100073,Female,19,135819,Divorced,Master,Unemployed,776,15743,1,Mortgage,0,20481,1.72,1
100074,Male,27,24763,Married,Master,Unemployed,310,15007,4,Mortgage,0,47478,6.13,1
100075,Female,51,108657,Divorced,PhD,Student,559,25300,4,Own,1,43593,1.75,1
100076,Female,33,30828,Single,Bachelor,Unemployed,692,46352,3,Mortgage,1,11760,4.12,0
100077,Female,56,67588,Divorced,High School,Student,668,42282,2,Rent,0,47919,5.7,1
100078,Male,39,31221,Divorced,Bachelor,Unemployed,483,17175,3,Mortgage,0,46670,2.21,1
100079,Female,29,31211,Married,Master,Student,315,6973,2,Own,1,25954,1.07,1
100080,Male,41,33569,Married,Bachelor,Retired,805,10703,0,Mortgage,1,38341,4.72,1
100081,Female,57,116894,Married,High School,Retired,385,33313,1,Rent,1,32419,0.91,1
100082,Male,55,57860,Married,High School,Student,309,19470,2,Own,0,54659,4.91,1
100083,Female,27,91558,Single,PhD,Retired,776,30176,3,Own,0,28119,6.15,1
100084,Male,52,65337,Divorced,Master,Employed,463,24280,0,Rent,1,7222,2.97,0
100085,Male,49,72311,Divorced,Bachelor,Unemployed,323,24867,3,Own,1,61840,4.16,1
100086,Female,24,33515,Married,Bachelor,Student,611,41431,4,Own,0,34363,7.47,0
100087,Male,38,91695,Single,PhD,Retired,537,22845,4,Mortgage,1,55446,4.03,1
100088,Female,37,142006,Single,PhD,Retired,761,17241,1,Own,0,31273,7.97,1
100089,Female,43,131527,Divorced,PhD,Employed,761,36055,1,Mortgage,1,5787,1.68,1
100090,Female,21,126749,Married,Master,Unemployed,537,9878,0,Rent,1,33365,5.82,1
100091,Female,39,107227,Divorced,Bachelor,Employed,321,11209,4,Rent,1,42435,5.39,1
100092,Female,32,44904,Divorced,PhD,Student,479,29499,2,Rent,1,56385,7.04,0
100093,Female,57,79935,Single,Master,Retired,798,38603,4,Rent,0,30162,1.19,1
100094,Female,38,63790,Single,Bachelor,Retired,774,36302,1,Own,1,16357,2.6,1
100095,Female,32,88580,Divorced,High School,Retired,638,12004,3,Own,1,57802,1.49,1
100096,Female,39,95148,Married,PhD,Employed,830,31587,0,Mortgage,0,50569,7.5,1
100097,Female,45,25636,Married,Master,Employed,461,34390,4,Mortgage,0,57401,3.7,0
100098,Female,31,97129,Divorced,Bachelor,Unemployed,360,29400,2,Mortgage,0,32277,7.33,0
100099,Male,44,134483,Divorced,Bachelor,Student,384,11975,2,Own,1,43839,2.71,1
100100,Male,58,22892,Married,PhD,Unemployed,846,13585,2,Mortgage,0,54116,1.45,0
100101,Female,57,41672,Married,PhD,Unemployed,789,7876,0,Own,1,25420,2.72,1
100102,Female,45,25812,Married,Bachelor,Retired,304,49104,2,Rent,0,62899,4.98,1
100103,Female,43,116621,Divorced,Master,Employed,375,14599,2,Own,1,39477,6.84,1
100104,Female,19,148177,Single,High School,Student,552,26239,4,Rent,0,54029,3.39,1
100105,Female,42,20654,Married,Bachelor,Unemployed,306,44906,0,Mortgage,0,17167,7.36,1
100106,Female,20,74633,Married,Master,Student,772,21378,3,Own,0,50350,2.33,0
100107,Female,25,37143,Married,PhD,Retired,437,27568,3,Mortgage,1,20590,5.7,0
100108,Female,50,75934,Divorced,Bachelor,Unemployed,657,32510,2,Mortgage,1,32883,6.02,0
100109,Male,59,87334,Single,PhD,Employed,462,36462,1,Rent,0,26596,2.55,1
100110,Female,52,123463,Single,High School,Unemployed,617,21688,0,Mortgage,1,6510,0.7,1
100111,Male,23,145851,Married,PhD,Retired,757,22796,1,Own,1,35763,3.24,1
100112,Female,56,49087,Divorced,High School,Unemployed,552,42478,0,Mortgage,1,64930,0.84,1
100113,Female,40,31618,Single,PhD,Retired,500,31796,0,Rent,1,27287,7.26,1
100114,Male,42,28446,Divorced,PhD,Unemployed,831,21817,4,Rent,1,49506,7.65,0
100115,Female,36,107182,Single,High School,Student,464,11061,2,Mortgage,0,19374,6.02,1
100116,Male,22,122127,Married,PhD,Employed,531,25401,4,Rent,1,29551,5.95,1
100117,Female,28,68867,Divorced,Master,Retired,627,4810,1,Mortgage,0,28936,2.31,0
100118,Female,29,71028,Married,PhD,Student,537,34680,1,Rent,0,33652,1.05,0
100119,Male,27,80101,Single,Bachelor,Retired,419,24826,3,Mortgage,0,41274,6.52,1
100120,Female,25,47200,Single,PhD,Unemployed,549,5902,4,Mortgage,1,60230,4.69,1
100121,Male,41,115107,Married,Master,Retired,635,20612,4,Own,1,60584,5.61,1
100122,Female,45,108074,Single,Bachelor,Retired,583,11663,4,Own,0,66687,6.35,1
100123,Male,58,126091,Married,Master,Employed,497,14967,3,Mortgage,0,8633,3.57,1
100124,Male,53,81465,Married,Bachelor,Student,715,48776,4,Own,0,31982,1.58,1
100125,Female,54,129500,Married,PhD,Unemployed,694,41536,4,Own,0,22845,6.46,1
100126,Female,38,106436,Single,Master,Employed,450,6135,4,Rent,1,27298,3.9,1
100127,Male,25,138422,Divorced,PhD,Retired,564,15072,4,Own,0,11352,6.7,1
100128,Female,26,144124,Married,Bachelor,Employed,519,42057,1,Rent,0,39939,3.78,1
100129,Female,32,107892,Divorced,Master,Retired,515,21417,2,Own,1,51030,2.13,1
100130,Female,57,108559,Single,High School,Unemployed,614,7443,1,Own,0,68317,1.78,1
100131,Male,35,140044,Single,Master,Retired,515,38610,4,Mortgage,1,62080,6.08,1
100132,Male,59,59148,Divorced,PhD,Employed,634,22925,0,Own,0,13594,4.81,1
100133,Male,37,102928,Married,High School,Employed,658,31002,0,Mortgage,1,13475,3.53,0
100134,Male,23,40698,Single,High School,Retired,460,37795,3,Mortgage,1,60958,4.19,0
100135,Male,29,62470,Married,Bachelor,Student,810,31993,1,Mortgage,1,69063,4.62,1
100136,Male,19,112071,Married,High School,Employed,456,1260,3,Mortgage,0,27499,2.3,1
100137,Male,24,71660,Divorced,High School,Student,461,10127,3,Own,1,46200,3.34,1
100138,Male,33,73910,Single,Bachelor,Student,341,37978,0,Mortgage,0,33838,2.69,0
100139,Male,20,55450,Divorced,Master,Student,479,25843,1,Own,1,35447,3.41,0
100140,Female,20,76463,Single,PhD,Student,602,33840,2,Own,1,42424,4.25,1
100141,Male,44,53757,Divorced,Master,Employed,629,38879,1,Rent,1,15387,1.8,1
100142,Female,57,98012,Single,High School,Employed,728,3921,3,Rent,0,46660,3.45,1
100143,Female,55,126750,Single,PhD,Student,649,44413,4,Rent,1,7670,3.39,1
100144,Female,50,147043,Single,Master,Employed,419,4888,3,Mortgage,1,64263,2.65,1
100145,Male,45,90247,Married,PhD,Student,374,1177,1,Own,1,9360,7.99,1
100146,Male,18,92015,Married,High School,Student,422,8426,0,Own,1,40316,1.05,1
100147,Male,25,51390,Divorced,Master,Student,481,5495,1,Mortgage,0,23710,5.32,0
100148,Male,54,76116,Divorced,PhD,Retired,556,34037,2,Rent,0,56948,1.81,1
100149,Female,49,33161,Single,PhD,Unemployed,568,11047,4,Rent,1,44814,6.8,1
100150,Male,54,52152,Single,Master,Employed,792,19039,4,Own,1,39974,7.36,1
100151,Male,21,100171,Married,Master,Employed,479,36301,3,Own,1,10179,3.51,0
100152,Male,47,126379,Married,High School,Student,448,49707,1,Own,1,66938,6.68,1
100153,Male,23,115833,Married,Bachelor,Retired,817,46114,0,Rent,0,20676,2.37,1
100154,Male,36,40836,Divorced,PhD,Retired,447,22366,2,Own,1,55762,1.55,1
100155,Female,49,110367,Married,Master,Employed,308,21745,3,Rent,1,30063,2.87,1
100156,Male,26,86543,Divorced,Master,Student,477,44082,1,Rent,0,54616,3.06,1
100157,Female,29,75648,Married,Master,Employed,694,12353,0,Rent,1,58475,3.48,1
100158,Male,28,46331,Married,PhD,Student,630,26080,1,Mortgage,1,63009,3.3,1
100159,Female,33,125992,Single,High School,Student,355,19788,0,Mortgage,0,10475,3.58,1
100160,Male,18,30763,Divorced,Bachelor,Unemployed,506,35969,1,Own,1,14681,5.83,0
100161,Male,38,89444,Married,PhD,Student,404,6659,1,Rent,0,11965,2.34,1
100162,Female,47,113109,Single,High School,Unemployed,846,34921,3,Own,1,38566,0.64,1
100163,Female,30,39187,Divorced,PhD,Employed,654,5161,1,Rent,0,56952,4.17,1
100164,Female,51,31957,Divorced,PhD,Employed,788,16503,1,Own,0,32874,3.86,1
100165,Male,21,24379,Married,Master,Retired,802,28003,3,Own,1,57392,0.95,0
100166,Female,45,47959,Divorced,High School,Unemployed,349,25982,3,Mortgage,1,41123,1.5,1
100167,Male,55,102018,Single,Master,Employed,386,4478,4,Mortgage,1,25313,4.32,1
100168,Male,48,143076,Single,Master,Unemployed,602,29620,4,Mortgage,1,50317,2.26,1
100169,Female,44,47105,Divorced,High School,Employed,300,36129,3,Mortgage,0,66217,7.08,0
100170,Female,22,20877,Single,Master,Unemployed,680,28172,2,Rent,1,5859,1.8,0
100171,Male,42,68353,Divorced,Master,Unemployed,661,11160,0,Own,1,29939,0.65,1
100172,Male,20,103788,Single,Bachelor,Student,680,36214,3,Own,1,52102,3.86,1
100173,Female,50,116870,Divorced,High School,Employed,461,12931,4,Rent,0,19318,7.9,1
100174,Female,21,104585,Divorced,High School,Retired,318,32170,1,Rent,0,45456,5.25,1
100175,Female,42,103308,Divorced,Master,Student,542,32190,3,Own,0,66276,3.16,0
100176,Male,37,71567,Single,Master,Retired,428,8601,3,Mortgage,0,15337,0.63,1
100177,Male,51,77913,Divorced,High School,Unemployed,475,38819,4,Mortgage,0,67475,4.14,1
100178,Male,43,22637,Divorced,High School,Student,708,4517,4,Mortgage,1,16023,2.05,0
100179,Male,22,92778,Married,PhD,Unemployed,383,5802,2,Rent,1,17870,5.36,1
100180,Male,52,62025,Married,High School,Employed,675,46158,4,Own,1,42790,4.87,1
100181,Male,45,126917,Divorced,PhD,Employed,521,19759,4,Rent,0,45352,2.49,1
100182,Female,46,121187,Married,Master,Retired,624,8850,4,Own,1,65916,1.02,1
100183,Male,26,119508,Divorced,Bachelor,Employed,750,7744,1,Mortgage,0,68622,6.16,0
100184,Male,55,102464,Married,Bachelor,Retired,715,23773,3,Mortgage,0,44170,4.89,1
100185,Male,23,48742,Single,PhD,Unemployed,744,49185,3,Mortgage,0,30491,6.82,1
100186,Female,36,31831,Single,Master,Student,624,7248,4,Own,0,52620,2.45,1
100187,Male,28,133768,Divorced,Master,Employed,822,49196,2,Mortgage,0,19274,5.4,1
100188,Male,19,135911,Divorced,Master,Unemployed,465,8136,4,Own,1,23158,1.39,1
100189,Female,26,105092,Single,High School,Student,537,43285,2,Rent,1,24749,2.69,1
100190,Male,38,110879,Single,Master,Unemployed,312,12800,3,Mortgage,1,29398,5.42,0
100191,Male,41,108370,Married,High School,Retired,556,14417,2,Rent,1,20970,6.69,1
100192,Male,51,146537,Divorced,PhD,Unemployed,813,26305,2,Rent,0,35135,2.91,1
100193,Male,39,66762,Single,Bachelor,Retired,509,37735,0,Own,1,13342,6.49,1
100194,Male,20,124824,Single,PhD,Retired,783,46129,2,Rent,1,51560,5.58,1
100195,Female,29,118958,Divorced,Master,Employed,664,38719,2,Own,0,45193,3.12,0
100196,Female,45,108741,Married,Master,Retired,524,5002,1,Own,0,67307,7.07,1
100197,Female,47,38830,Married,PhD,Retired,493,3332,3,Rent,0,16412,4.32,0
100198,Male,43,75044,Married,High School,Unemployed,495,27149,4,Own,1,40789,5.36,1
100199,Male,38,93948,Married,High School,Retired,699,45228,0,Own,1,42005,4.22,0
100200,Male,45,89202,Single,High School,Retired,356,5375,2,Own,1,44162,3.9,1
100201,Female,43,57045,Divorced,Bachelor,Unemployed,512,30458,1,Rent,0,20293,6.86,1
100202,Male,50,106322,Divorced,Bachelor,Student,578,34453,1,Own,0,57969,2.71,1
100203,Male,38,137257,Single,Master,Employed,679,21272,4,Mortgage,0,18194,0.77,1
100204,Female,52,91051,Single,PhD,Unemployed,416,18352,4,Rent,0,52747,7.1,1
100205,Male,51,127509,Single,PhD,Retired,750,3033,3,Rent,0,30646,6.69,1
100206,Female,58,46627,Divorced,Master,Unemployed,709,40843,2,Own,0,65787,3.25,1
100207,Female,35,35198,Divorced,High School,Student,666,22645,1,Rent,1,33765,1.89,1
100208,Female,28,89521,Divorced,Bachelor,Unemployed,412,26343,0,Mortgage,0,22144,5.57,1
100209,Male,40,131439,Married,PhD,Unemployed,463,48415,3,Rent,0,42219,1.09,1
100210,Male,39,126471,Single,Master,Unemployed,303,1645,2,Rent,0,42395,3.68,1
100211,Male,34,49475,Single,High School,Unemployed,322,32775,4,Rent,0,40507,1.14,0
100212,Male,22,125752,Single,High School,Retired,391,5121,2,Own,0,61591,4.98,0
100213,Male,28,138998,Divorced,Bachelor,Unemployed,768,9112,4,Mortgage,0,47977,0.7,1
100214,Male,47,39403,Single,Bachelor,Student,454,10271,2,Mortgage,0,26932,5.22,1
100215,Male,32,23681,Single,Master,Unemployed,506,40204,0,Mortgage,0,44559,5.55,0
100216,Female,44,111555,Married,Master,Unemployed,380,26212,3,Rent,0,29300,4.15,1
100217,Male,52,138884,Divorced,High School,Retired,782,46285,4,Mortgage,1,28229,1.81,1
100218,Female,50,113122,Single,High School,Retired,706,11292,0,Own,1,11867,1.26,1
100219,Male,37,135260,Divorced,PhD,Unemployed,402,24481,1,Rent,1,14108,2.85,1
100220,Male,33,62292,Divorced,High School,Retired,539,42060,0,Own,1,35783,3.99,0
100221,Male,51,123057,Divorced,Master,Retired,564,39354,0,Rent,0,8943,5.32,1
100222,Female,19,125386,Married,Bachelor,Unemployed,332,29493,0,Own,1,69413,0.51,1
100223,Female,52,122306,Divorced,Master,Retired,334,30475,4,Rent,1,20523,5.83,1
100224,Female,57,25629,Divorced,PhD,Employed,548,1868,1,Own,0,41228,5.85,1
100225,Female,45,113246,Divorced,PhD,Employed,349,48370,3,Mortgage,0,6492,3.83,1
100226,Male,56,115864,Single,Bachelor,Employed,579,39682,0,Rent,0,41389,3.08,1
100227,Female,23,97814,Married,Master,Retired,451,9213,4,Rent,0,13918,6.82,1
100228,Male,26,28417,Single,PhD,Employed,836,23739,4,Own,1,51610,6.38,1
100229,Male,37,138888,Married,Master,Student,529,2903,3,Own,0,50821,7.87,1
100230,Female,18,54765,Married,PhD,Employed,587,36344,2,Own,0,31185,3.29,0
100231,Female,25,94499,Divorced,Bachelor,Student,694,48491,1,Rent,0,26402,7.3,1
100232,Female,40,134088,Divorced,PhD,Retired,752,37877,1,Own,1,62314,1.16,1
100233,Female,20,76574,Single,Master,Employed,332,21998,0,Mortgage,1,34324,3.59,1
100234,Female,21,122828,Married,Master,Student,662,19319,2,Own,0,34576,3.99,1
100235,Female,42,110545,Divorced,PhD,Retired,410,34383,1,Own,1,36760,3.81,1
100236,Female,55,148206,Divorced,High School,Employed,420,22441,0,Own,0,28134,5.19,1
100237,Female,32,47675,Divorced,Bachelor,Unemployed,315,11642,2,Mortgage,1,26225,1.78,0
100238,Male,38,145609,Divorced,Bachelor,Employed,822,12776,4,Own,0,14131,7.0,1
100239,Female,52,121711,Single,PhD,Employed,397,25862,0,Own,1,61620,4.64,1
100240,Female,31,92267,Single,PhD,Employed,415,32103,2,Rent,1,54239,7.28,1
100241,Male,53,60563,Divorced,High School,Unemployed,770,12510,3,Rent,1,35505,0.52,1
100242,Female,29,31332,Divorced,Bachelor,Student,738,35691,1,Own,0,54714,5.22,0
100243,Male,34,143745,Divorced,High School,Student,580,14402,0,Rent,1,6268,3.59,1
100244,Male,56,39177,Divorced,Bachelor,Unemployed,648,7455,4,Own,1,47450,4.29,1
100245,Female,26,109254,Divorced,PhD,Employed,531,41372,0,Own,1,10561,6.08,1
100246,Male,52,88447,Married,Bachelor,Employed,410,41920,1,Mortgage,0,69624,2.2,1
100247,Male,30,77104,Married,Bachelor,Employed,651,3773,1,Own,1,34113,2.04,1
100248,Male,32,104335,Married,Bachelor,Student,311,44050,2,Rent,0,60197,5.77,1
100249,Male,35,134938,Married,High School,Student,787,28377,4,Rent,0,16271,4.41,1
100250,Female,50,100730,Divorced,High School,Unemployed,832,10776,2,Rent,0,63916,2.25,1
100251,Male,23,24951,Married,Bachelor,Retired,584,33059,4,Rent,0,42422,4.13,0
100252,Female,44,126402,Married,Master,Unemployed,844,30405,0,Own,0,57323,3.95,1
100253,Male,40,48333,Single,High School,Student,691,1143,0,Mortgage,1,12512,5.69,1
100254,Male,44,41673,Married,PhD,Employed,469,26698,2,Mortgage,0,62004,0.52,1
100255,Male,51,134421,Married,PhD,Employed,376,18083,3,Own,1,7800,4.9,1
100256,Male,55,60870,Divorced,Bachelor,Employed,596,46169,1,Rent,1,36620,5.04,1
100257,Female,31,141945,Married,PhD,Employed,629,23702,2,Mortgage,0,68968,6.09,1
100258,Female,53,147536,Married,High School,Retired,362,34038,2,Mortgage,0,60998,7.17,1
100259,Male,25,91101,Divorced,Master,Unemployed,569,42022,0,Own,0,65757,3.8,1
100260,Male,52,42821,Married,Master,Unemployed,515,2007,1,Rent,1,26422,3.07,1
100261,Female,36,45494,Divorced,Master,Student,489,28419,2,Mortgage,1,47217,1.27,1
100262,Male,47,119477,Married,PhD,Unemployed,374,47483,0,Own,1,59040,3.03,0
100263,Male,31,146083,Single,Bachelor,Retired,809,44232,0,Mortgage,1,69746,1.01,1
100264,Male,37,94160,Single,PhD,Retired,392,11174,2,Mortgage,1,35845,6.52,1
100265,Female,42,132698,Married,Bachelor,Retired,352,31880,2,Rent,1,34361,6.55,1
100266,Female,57,131560,Single,Master,Employed,795,8203,0,Rent,1,17764,3.63,1
100267,Female,41,20835,Divorced,High School,Student,393,37492,2,Mortgage,1,26164,2.45,1
100268,Male,31,145126,Married,PhD,Retired,528,29989,1,Rent,1,48379,1.39,1
100269,Male,43,38646,Divorced,High School,Unemployed,549,28331,0,Mortgage,0,6143,6.88,1
100270,Female,55,143777,Single,Master,Unemployed,690,45694,0,Mortgage,1,34213,7.08,1
100271,Female,40,97360,Divorced,Bachelor,Unemployed,481,23983,2,Mortgage,0,11703,2.5,1
100272,Female,39,57335,Single,High School,Retired,566,30735,2,Own,0,33850,5.16,0
100273,Female,36,89351,Single,PhD,Retired,580,41685,2,Rent,1,49125,2.44,1
100274,Male,20,134934,Single,High School,Unemployed,382,21893,1,Rent,1,15806,2.19,1
100275,Female,59,22429,Divorced,High School,Retired,485,16739,0,Mortgage,1,54899,0.66,1
100276,Male,36,61950,Single,PhD,Unemployed,830,30917,3,Rent,1,12094,4.83,1
100277,Female,26,80654,Married,Bachelor,Employed,647,21704,1,Mortgage,1,60597,1.62,0
100278,Male,45,127422,Single,PhD,Retired,722,31152,1,Rent,1,21158,0.59,1
100279,Female,37,129934,Married,Master,Employed,753,48383,0,Rent,0,65833,1.29,1
100280,Female,24,139975,Married,Bachelor,Employed,566,39240,3,Mortgage,0,53987,2.85,1
100281,Female,31,88143,Married,High School,Retired,806,8206,0,Rent,1,32209,5.52,1
100282,Female,26,111186,Married,PhD,Unemployed,441,24256,1,Mortgage,0,18763,2.02,1
100283,Male,36,124234,Divorced,Master,Student,615,25307,2,Own,0,41256,7.16,1
100284,Female,31,117889,Married,PhD,Employed,531,5716,0,Mortgage,0,64191,2.66,1
100285,Male,55,122326,Single,Bachelor,Retired,596,36388,0,Rent,0,17217,2.98,1
100286,Male,53,97527,Married,Master,Employed,321,19920,2,Own,0,47105,2.13,1
100287,Male,57,106704,Single,High School,Unemployed,683,38871,3,Own,0,39872,2.4,0
100288,Male,34,51099,Divorced,Bachelor,Retired,425,43928,3,Mortgage,1,25240,1.06,1
100289,Female,47,59385,Married,Master,Student,402,24464,0,Own,0,42887,2.71,1
100290,Male,26,55919,Single,Bachelor,Retired,409,39085,2,Mortgage,0,59410,6.95,0
100291,Male,50,116952,Divorced,High School,Employed,771,14587,0,Rent,0,18510,5.66,1
100292,Male,42,80782,Divorced,Master,Retired,364,2195,2,Mortgage,0,56920,7.06,1
100293,Female,31,91116,Single,PhD,Retired,771,26083,1,Own,1,58211,1.29,0
100294,Female,28,92590,Married,PhD,Employed,375,23438,2,Mortgage,0,6808,3.92,1
100295,Female,52,109626,Divorced,High School,Student,318,21009,0,Mortgage,1,26864,2.22,1
100296,Female,58,60387,Single,Master,Unemployed,683,41636,4,Rent,0,5409,5.91,1
100297,Male,31,35823,Married,High School,Retired,489,36587,3,Mortgage,1,5645,7.78,0
100298,Male,47,66015,Divorced,High School,Student,659,22143,0,Rent,0,66264,6.62,1
100299,Female,58,122877,Single,Bachelor,Unemployed,751,14696,2,Own,0,22935,0.76,1
100300,Male,21,35339,Divorced,PhD,Employed,378,8564,2,Own,0,18926,2.87,0
100301,Male,21,149949,Divorced,High School,Student,471,4637,3,Mortgage,1,59514,0.71,1
100302,Male,45,23491,Single,Bachelor,Student,511,35641,0,Mortgage,1,6113,0.8,0
100303,Female,25,20706,Divorced,High School,Retired,744,18790,4,Own,1,57739,1.1,0
